UserId,Channel1,Channel2,Channel3,Channel4,Channel5
1,0,1,1,0,-1
2,0,-1,-1,0,0
3,-1,-1,-1,1,-1
4,-1,-1,1,-1,0
5,-1,1,0,0,-1
6,-1,0,1,-1,-1
7,-1,1,1,0,-1
8,1,0,1,0,1
9,0,-1,-1,-1,1
10,-1,-1,1,-1,-1
11,-1,-1,0,1,-1
12,1,0,1,-1,0
13,0,1,-1,0,1
14,0,1,0,1,-1
15,0,0,1,-1,-1
16,1,-1,0,1,1
17,0,-1,-1,1,1
18,-1,0,0,0,-1
19,0,1,0,1,-1
20,0,1,0,0,0
21,-1,0,1,0,0
22,-1,1,-1,-1,1
23,0,1,1,1,0
24,0,1,-1,0,0
25,0,1,0,-1,-1
26,0,1,-1,0,0
27,-1,1,1,-1,1
28,1,1,1,0,1
29,-1,0,-1,1,0
30,0,0,1,-1,-1
31,0,1,1,0,0
32,-1,-1,-1,0,-1
33,0,-1,-1,1,0
34,-1,0,-1,1,-1
35,1,-1,1,-1,-1
36,0,0,1,-1,-1
37,-1,0,0,0,-1
38,-1,0,0,1,1
39,1,1,1,0,1
40,1,1,0,0,-1
41,0,-1,1,-1,0
42,-1,1,0,-1,1
43,0,1,0,0,-1
44,-1,1,0,1,0
45,1,-1,-1,1,1
46,1,-1,0,1,1
47,1,1,-1,1,1
48,-1,-1,1,0,1
49,1,-1,1,0,0
50,0,1,0,-1,1
